2026-01-17 10:04:49,517 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-17 10:04:51,025 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-17 10:05:10,755 - INFO - Phone migrated to 4
2026-01-17 10:05:10,873 - INFO - Reconnecting to new data center 4
2026-01-17 10:05:10,992 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2026-01-17 10:05:10,993 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2026-01-17 10:05:10,993 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2026-01-17 10:05:12,541 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2026-01-17 10:05:54,452 - INFO - Started scraping CheMed1
2026-01-17 10:05:54,562 - ERROR - Error scraping CheMed1: No user has "chemed1" as username
2026-01-17 10:05:54,562 - INFO - Started scraping lobelia4cosmetics
2026-01-17 10:07:02,969 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:03,601 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:04,266 - INFO - Successfully saved 100 messages from lobelia4cosmetics
2026-01-17 10:07:04,266 - INFO - Started scraping tikvahpharma
2026-01-17 10:07:05,539 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:06,258 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:06,740 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:07,436 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:07,740 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:08,232 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:08,775 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:10,263 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:12,002 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:12,482 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:13,715 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:14,289 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:14,969 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:16,843 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:17,329 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:18,923 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:20,186 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:20,990 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:21,455 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:21,695 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:22,247 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:23,967 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:24,210 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:24,478 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:25,827 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:27,072 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:27,928 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:29,687 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:31,444 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:31,907 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:32,430 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:33,476 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:33,955 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:38,671 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:40,006 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:41,883 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:42,348 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:42,708 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:42,940 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:44,053 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:44,816 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:46,415 - INFO - Successfully saved 100 messages from tikvahpharma
2026-01-17 10:07:46,415 - INFO - Disconnecting from 149.154.167.91:443/TcpFull...
2026-01-17 10:07:46,416 - INFO - Disconnection from 149.154.167.91:443/TcpFull complete!
